Abstract,Abstract Description,Name/Institution/Workplace,Time Slot,Student Presenter
A Bayesian HSROC Model for Network Meta-analysis of Diagnostic Tests,"When evaluating the accuracy of diagnostic tests, three designs are commonly used: (1) the crossover design; (2) the randomized design; and (3) the non-comparative design. Existing methods on meta-analysis of diagnostic tests mainly consider the simple cases when the reference test in all or none of the studies can be considered as a gold standard test, and when all studies use either a randomized or non-comparative design. Yet the proliferation of diagnostic instruments and diversity of study designs being used have boosted the demand to develop more general methods. We extend the Bayesian hierarchical summary receiver operating characteristic model to network meta-analysis of diagnostic tests to simultaneously compare multiple tests under a missing data framework. Our model accounts for the potential correlations between multiple tests within a study and the heterogeneity across studies. It also allows different studies to perform different subsets of diagnostic tests. Our model is evaluated through simulations and illustrated using real data from deep vein thrombosis tests.","Qinshu Lian University of Minnesota-Twin Cities, Haitao Chu University of Minnesota-Twin cities",Wednesday 11:04-11:26,N
Hierarchical Models for Combining N-of-1 Trials,N-of-1 trials are single-patient multiple-crossover studies for determining the relative effectiveness of treatments for an individual participant. A series of N-of-1 trials assessing the same scientific question may be combined to make inferences about the average efficacy of the treatment as well as to borrow strength across the series to make improved inferences about individuals. Series that include more than two treatments may enable a network model that can simultaneously estimate and compare the different treatments. Such models are complex because each trial contributes data in the form of a time series with changing treatments. The data are therefore both highly correlated and potentially contaminated by carryover. We will use data from a series of 100 N-of-1 trials in an ongoing study assessing different treatments for chronic pain to illustrate different models that may be used to represent such data.,"Christopher Schmid Brown University, Youdan Wang Brown University",Wednesday 11:26-11:50,N
A Novel Hidden Markov Model Approach for Differentially Methylated Region Identification in DNA Methylation Data,"A new hidden Markov model (HMM)-based method is proposed to identify differentially-methylated CpG sites and regions in data arising from genome sequencing in conjunction with bisulphite treatment (BS-seq). Features of BS-Seq data include variable read depth, unevenly distributed sites, and non-smooth patterns of correlations between sites. Shortcomings of available methods include the inability to compare more than two groups or to examine associations with continuous covariates, and difficulties in handling missing and low read depth data. The proposed method is flexible in choosing HMM order, uses weights to account for read depth, and introduces a “noise state” to allow some sites to not follow the general HMM pattern. A comprehensive comparison of this new method with several existing methods will be presented, based on real and simulated data.","Farhad Shokoohi McGill University, Celia M.T. Greenwood Lady Davis Institute, Jewish General Hospital, Montreal and McGill University, David A. Stephens McGill University, Aurélie Labbe HEC Montréal",Wednesday 10:20-10:35,N
A Multivariate Rare-Variant Association Test for Non-Normally Distributed Phenotypes,"Recently, several region-based multivariate tests have been proposed to identify rare variant (RV) associations when multiple correlated continuous phenotypes are observed. However, most of such methods assume multivariate normality (MN) distribution for the phenotypes. If the MN assumption is violated, modelling phenotypic dependence using the Pearson correlation may not be suitable and can lead to inflated type I error. We address this issue using copulas to model the phenotypic dependence in a bivariate case. This allows us to assume marginal phenotypic distribution from any exponential family. We derive a copula-based variance-component score test for association between RVs and bivariate phenotypes and we provide an analytic test p-value calculation. We illustrate the performance of the proposed methodology using simulation studies and analyzing real data of the PETALE project from Sainte-Justine Hospital research center on patients who survived childhood leukemia. ","Julien St-Pierre Université du Québec à Montréal, Karim Oualkacha Université du Québec à Montréal",Wednesday 10:35-10:50,N
Measurement and Association Testing of 5-hydroxymethylcytosine (5hmC) Methylation,"Testing association between DNA methylation and health phenotypes is an important area of research. Illumina arrays exploit reisistance of methylated DNA to the effects of bisulfite treatment to allow genome-wide inference of the methylation-phenotype relationship. This method does not distinguish between two methylations types: 5mC and 5hmC. The latter form has been shown to be abundant in the human brain and so may be important for neurological phenotypes. A new method called oxidative bisulfite treatment allows for isolation of 5mC methylation and so, in theory, we can find the 5hmC methylation signal by taking the difference of signals from two parallel runs; one using the regular bisulfite treatment and one using the oxidative bisulfite treated DNA. Both of these measures are very noisy and so the difference is often negative. We examine statistical methods to evaluate the amount of 5hmC methylation signal from two parallel runs and the association of 5hmC with a phenotype.","Angelo J. Canty McMaster University, Keelin Greenlaw Lady Davis Institute, Jewish General Hospital, Montreal and McGill University, Celia M.T. Greenwood Lady Davis Institute, Jewish General Hospital, Montreal and McGill University",Wednesday 10:50-11:05,N
A Probabilistic-Based Approach for Clustering Sparse Single-Cell DNA Methylation Data,"Recent advances in technology and laboratory protocols have allowed the generation of high-throughput sequencing data from a single cell, including DNA methylation data. One of the main goals in this field of research is to cluster the data from different cells together according to their DNA methylation profiles. Because the amount of DNA material per cell is limited, the generated single-cell data are usually sparse, i.e., they contain a large amount of missing data. To address this problem we propose a probabilistic-based algorithm to infer the missing data and cluster the cells simultaneously by borrowing statistical strength across cells and neighbouring sites. We investigate the properties of our proposed method under different scenarios via simulation studies. We apply our algorithm to publicly available single-cell DNA methylation data sets. ","Camila P.E. de Souza University of British Columbia, Mirela Andronescu University of British Columbia, Sohrab Shah University of British Columbia",Wednesday 11:05-11:20,N
Modeling T-cell Trajectory Data using Hidden Markov Models,"Recent technological advances have allowed for the real-time tracking of immune cells, such as cytotoxic T-cells, as they search their environment for pathogens. Understanding the way these cells move is of interest to cell biologists who aim to improve their search efficiency via treatment. In the literature, several different types of stochastic models have been considered for T-cell movements, including Levy flight, Brownian motion, and Persistent random walks. The data that we consider is based on observing the motion of cytotoxic T-cells in a synthetic collagen matrix. Based on our observations, cells often switch between several modes of motion, and these are apparently affected by the attendance of cells nearby in the collagen. We therefore propose a hidden Markov model with separate, but correlated random effects between different Cartesian axes for the increments of the cells' trajectory. We assess the performance of the proposed model using simulation studies. ","Elaheh Torkashvand University of Waterloo, Joel Dubin University of Waterloo, Gregory Rice University of Waterloo",Wednesday 11:20-11:35,N
Block-Wise Descent Algorithms for Group Variable-selection in Quantile Regression,"Quantile regression (QR) models are attractive in several fields due to their capability to provide a rich description of a set of predictor effects on an outcome without making assumptions on the shape of the outcome distribution. In this work we consider the problem of selecting grouped variables in linear quantile regression models. We introduce a Group variable-Selection framework for Quantile Regression (GSQR) with most appealing group-penalties: the group lasso penalty, the group non-convex penalties (MCP and SCAD), the local approximation of the non-convex penalties and the sparse group lasso penalty. We propose a smooth block-wise descent algorithm that approximates the QR check function by a smooth pseudo-quantile check function, which is differentiable in zero. Then, using a maximization-minimization trick to update each group predictors, we derive a simple and efficient group-wise descent algorithm. We illustrate the GSQR approach performance using simulations in high dimensional settings and we analyze a breast cancer gene expression dataset.","Karim Oualkacha Université du Québec à Montréal, Mohamed Ouhourane Université du Québec à Montréal, Yi Yang McGill University",Wednesday 11:35-11:50,N
Mode Detection in a Non-Stationary Environment,"Multitaper spectrum estimation techniques can be used to test for the presence of modes in a space physics dataset. The model assumes the presence of random-amplitude periodic components. Random modulators only account for a single form of non-stationary process, and other forms will be sought which reside in the signal. Accounting for these processes reduces the effects of test bias due to departures from the model assumption of stationarity. To detect and identify non-stationary processes, it is standard to use a map of two-frequency coherence, where the process is manifest as a discrete set of high-coherence curves. However, when the dynamic range of the two-frequency spectrum is high, the coherence statistic is the subject of severe bias contamination. The proposed alternative is a test statistic which makes use of circularity coefficients, a set of coefficients which contains the effects of the data tapers on coherence over frequency when bias is high.",François Alastair Marshall,Wednesday 10:20-10:35,N
Box-Cox Time Series," A new algorithm is developed for Box-Cox estimation, forecasting and simulation of time series models. The algorithm is implemented in R. Some illustrative applications are presented. ","Samira Soleymani Western University, A. Ian McLeod Western University",Wednesday 10:35-10:50,N
An Extended Compound Symmetry Model for High-dimensional Covariance Matrix Estimation,"We study high-dimensional covariance matrix estimation under the assumption of the low-rank and diagonal matrix decomposition. The covariance matrix estimator is decomposed into a low-rank matrix L and a diagonal matrix D, and the rank of L is either fixed to be small or suppressed by a penalty function. Under moderate conditions on the population covariance matrix and the penalty function, our estimator enjoys some consistency results. An algorithm which iteratively updates L and D is applied to solve for the estimator. Some simulations and real data analysis are presented to show the performance with finite sample size. ","Yilei Wu University of Waterloo, Yingli Qin University of Waterloo, Mu Zhu University of Waterloo",Wednesday 10:50-11:05,N
Incorporating Contact Network Uncertainty in Individual-Level Models of Infectious Disease using Approximate Bayesian Computation,"Infection disease transmission between individuals in a heterogeneous population is often best modelled through a contact network. However, such contact network data are often unobserved. This form of missing data can be accounted for in a Bayesian data augmented framework using Markov chain Monte Carlo (MCMC). However, fitting models in an MCMC a framework can be highly computationally intensive. We investigate the fitting of network-based infectious disease models with completely unknown contact networks using both a full Bayesian MCMC framework and approximate Bayesian computation population Monte-Carlo (ABC-PMC) methods. This is done in the context of both simulated data, and data from the UK 2001 foot-and-mouth disease epidemic. We show that ABC-PMC is able to obtain reasonable approximations of the underlying infectious disease model, with huge savings in computation time. ","Waleed Almutiry Calgary University, Rob Deardon Calgary University",Wednesday 11:05-11:20,N
DM-PhyClus: A Bayesian Phylogenetic Clustering Algorithm Incorporating Dirichlet-Multinomial Priors,"Conventional phylogenetic clustering approaches rely on arbitrary cutpoints applied a posteriori to phylogenetic estimates. Although in practice, Bayesian and bootstrap-based clustering tend to lead to similar estimates, they often produce conflicting measures of confidence in clusters. Further, bootstrap support for phylogenetic clusters does not benefit from a straightforward interpretation. The current study proposes a new Bayesian phylogenetic clustering algorithm, which we refer to as DM-PhyClus, that identifies sets of sequences resulting from quick transmission chains, thus yielding easily-interpretable clusters, without using any ad hoc distance or confidence requirement. Simulations reveal that DM-PhyClus can outperform conventional clustering methods in terms of mean cluster recovery. We apply DM-PhyClus to a sample of real HIV-1 sequences, revealing a set of clusters whose inference is in line with the conclusions of a previous thorough analysis.","Luc Villandré McGill University, Aurélie Labbe HEC Montréal, Bluma Brenner McGill AIDS Centre, Lady Davis Institute, Jewish General Hospital, Michel Roger Université de Montréal, David A. Stephens McGill University",Wednesday 11:20-11:35,N
Conditional Dependence Models under Covariate Measurement Error,"In many applications, covariates are subject to measurement error. While there is a vast literature on measurement error problems in regression settings, very little is known about the impact of covariate measurement error on the dependence parameter estimation in multivariate models. We address the latter problem using a conditional copula model, and show that the dependence parameter estimates can be significantly biased if the covariate measurement error is ignored in the analysis. We identify the underlying bias pattern from the direction and magnitude of marginal effect sizes and introduce an exact bias correction method for the special case of the Gaussian copula. For more general conditional copula models, a likelihood-based correction method is proposed, in which the likelihood function is computed via Monte-Carlo integration. The consistency and asymptotic normality of the bias-corrected estimators are established. Numerical studies confirm that the proposed bias-correction methods yield an on target estimation. We demonstrate the proposed correction methods in a subset of the SWAN (Study of Women’s Health Across the Nation) data. ","Kaiqiong Zhao McGill University, Elif Fidan Acar University of Manitoba",Wednesday 10:20-10:35,N
Localized Quantile Regression of Realized Volatility,"It is challenging to accurately assess the volatility of financial assets with high-frequency data. Heteroscedasticity of the realized volatility is one of the factors that causes the difficulty. In this study, we propose a localized quantile regression approach. The proposed approach sequentially identifies homogeneous intervals and then applies a quantile regression model to each homogeneous interval. Hence the quantile regression model has time-dependent coefficients. The quantile regression model does not require distributional assumptions. Direct interpretation of the results at selected quantiles might be of more interests to practitioners in the area of finance. The simulation study shows that localized quantile regression model fits the realized volatility more closely and is also more predictive. ","Janaki Thakshila Koralage Memorial University of Newfoundland, Zhaozhi Fan Memorial University of Newfoundland",Wednesday 10:35-10:50,N
Modelling Bivariate Count Time Series with Extra Zeros," Bivariate time series counts with excessive zeros frequently occur in biological, social and environmental sciences. To deal with such data we propose a model that includes a serial correlated random effect series shared by both responses and the use of the compound Poisson distribution to capture excessive zeros. We will discuss parameter estimation for this model and implement the model in the analysis of musculoskeletal workplace injuries.","Gary Sneddon Mount Saint Vincent University, Tariqul Hasan University of New Brunswick, Renjun Ma University of New Brunswick",Wednesday 10:50-11:05,N
A Convex Regression Approach to Pickands Dependence Function Estimation,"Due to its close connection to extreme value copulas, the Pickands dependence function is a most useful tool to study dependence between extremes. This function must at the same time be convex and satisfy boundary constraints, so proposing a bona fide estimator remains a difficult task. In this work, we interpret the Pickands dependence function as some kind of regression function, and adapt a least-squares type convex regression algorithm to this problem. Despite the nonparametric nature of the problem, the algorithm does not require to select some smoothing parameter. Moreover, it can be implemented by using convex quadratic programming. Besides, consistency results for the function as well as its derivative may be derived from results for weighted empirical processes. ","Nathalie Akakpo Université Pierre et Marie Curie, Paris",Wednesday 11:05-11:20,N
Realizing the Extremes: Estimation of Tail-Risk Measures from a High-Frequency Perspective,"In this talk, we apply realized volatility forecasting to Extreme Value Theory (EVT). We propose a two-step approach where returns are first pre-whitened with a high-frequency based volatility model, and then an EVT based model is fitted to the tails of the standardized residuals. This realized EVT approach is compared to the conditional EVT of McNeil \& Frey (2000). We assess both approaches' ability to filter the dependence in the extremes and to produce stable out-of-sample VaR and ES estimates for one-day and ten-day time horizons. The main finding is that GARCH-type models perform well in filtering the dependence, while the realized EVT approach seems preferable in forecasting, especially at longer time horizons.","Debbie J. Dupuis HEC Montreal, Marco Bee University of Trento, Luca Trapin Scuola Normale Superiore",Wednesday 11:20-11:35,N
Copula Dependence Modeling for Multi-type Recurrent Events using Composite Likelihood,"It is appealing to use marginal models for the analysis of recurrent events in randomized trials. When several types of events arise, interest may lie in the nature of the dependence structure. We adopt multivariate random effect models in which the dependence between the type-specific random effects is accommodated through a Gaussian copula. Such models retain the simple interpretation of marginal treatment effects, separately reflect the heterogeneity in risk for each type of event, and provide insight into the dependence between the different types of events. Inference is proposed based on composite likelihood to avoid high dimensional integration. The relative efficiency of estimators obtained from simultaneous and two-stage estimation is examined. An application to a study of nutritional supplements in malnourished children is given in which the goal is to evaluate the reduction in the rate of several types of infection. Extensions to accommodate interval-censoring are described. ","Jooyoung Lee University of Waterloo, Richard J. Cook University of Waterloo",Wednesday 11:35-11:50,N
Multiple Imputation of Incomplete Accelerometer Data,"Accelerometer data possess unique challenges for Multiple Imputation (MI) that require careful consideration when selecting imputation models and methods, and these challenges become more daunting when imputation is performed at the epoch-level. Yet MI is appealing in this setting where accelerometers are not consistently worn by study participants, and missing epochs of data create issues for commonly employed methods of accelerometer data analysis and may introduce bias into physical activity measures. Zero-inflated Poisson and log-normal imputation models are contrasted with simpler forms of imputation and these models are evaluated based on their epoch-level imputation accuracy as well as their ability to recover common physical activity summary measures of interest. The accelerometer data used in this investigation is from The Active Play Study, our ongoing physical activity study involving children and youth in Kingston, Ontario.","Michael A. McIsaac Queen's University, Lauren Paul Queen's University",Wednesday 10:20-10:42,N
Analysis of Heterogeneous Lifetime Data with Measurement Error in Covariate,"In the analysis of lifetime data, interest often lie in modeling the time to a particular event or the occurrence of certain event, identifying the associated risk factors and evaluating their effects on survival time or event occurrence. We may encounter a heterogeneous group where event of interest may not occur or cease to occur after a period of time for some individuals. Mover-stayer models are developed using a binary variable to indicate whether the underlying process has resolved. In addition, data with measurement error often occurs in medical research and public health, and the problems associated are well known yet often ignored due to technical difficulties. We propose an expectation-maximization (EM) algorithm based method to estimate the parameters and adjust for mismeasurement present in the covariates. Its advantages over the naïve analysis are illustrated in simulation studies. The motivating study in breast cancer is examined to illustrate the proposed method.","Hua Shen University of Calgary, Ying Yan University of Calgary, Haocheng Li Unviersity of Calgary",Wednesday 10:42-11:04,N
Missing Data Mechanisms for Incomplete Longitudinal Observations in both Responses and Covariates,"Missing observations in both responses and covariates are commonly observed in longitudinal studies. When missing data are missing not at random, inferences under the likelihood framework often require joint modelling of response and covariate processes, as well as missing data processes associated with incompleteness of responses and covariates. Specification of these four joint distributions is difficult in both modelling and computation. We discuss three specific missing data mechanisms which have simplified pairwise likelihood formulations. These likelihood functions lead to consistent estimators, and enjoy better robustness and computational convenience. The proposed method is evaluated empirically by simulation studies and applied in a real world dataset.","Haocheng Li University of Calgary, Grace Yi University of Waterloo",Wednesday 11:04-11:26,N
A Self-Selecting Procedure for the Optimal Discretization of the Timeline for Longitudinal Causal Inference Methods with Electronic Health Data,"In longitudinal observational studies, marginal structural models (MSM) can be used to account for time-dependent confounding. Many estimation approaches, such as Longitudinal Targeted Maximum Likelihood Estimation (LTMLE), require a finite number of time points where variables are measured. In contrast, electronic health data (EHD) are produced by mechanisms that collect health system user information in real-time. In common practice, the longitudinal analysis is preceded by an arbitrary discretization. In this talk, we describe the causal inference problem when the operating data are defined as a coarsening (discretization) of the observed data. We propose a novel selection procedure that uses cross-validation on an LTMLE loss function to select an ""optimal"" discretization for estimation of a data-adaptive MSM parameter of interest. We present a simulation study and apply this approach to a study using EHD to evaluate the relative impact of asthma medications during pregnancy. ","Mireille E. Schnitzer Université de Montréal, Steve Ferreira Guerra Université de Montréal, Amélie Forget Université de Montréal, Lucie Blais Université de Montréal",Wednesday 11:26-11:50,N
Predictive Analytics in Business,"This talk will present an overview of the history and current advances of predictive analytics in the world of business, with applications drawn from such diverse fields as retail, utilities, manufacturing, public service, financial services, insurance, and sports. Methods will include discussion of such topics as ensemble models, gradient boosting, partial least squares, support vector machines, text mining, link analysis, and association rule mining.",Shirley E. Mills Carleton University,Wednesday 13:30-14:30,N
"Probability-Scale Residuals for Continuous, Discrete, and Censored Data","We describe a new residual for general regression models defined as pr(Y*<y)-pr(Y*>y), where y is the observed outcome and Y* is a random variable from the fitted distribution. This probability-scale residual (PSR) can be written as E(sign(y,Y*)), whereas the popular observed-minus-expected residual can be thought of as E(y−Y*). Therefore the PSR is useful in settings where differences are not meaningful or where the expectation of the fitted distribution cannot be calculated. We present several desirable properties of the PSR that make it useful for diagnostics and measuring residual rank correlation. We demonstrate its utility for continuous, ordered discrete, and censored outcomes, and with various models including Cox regression, quantile regression, and ordinal cumulative probability models, for which fully specified distributions are not desirable or needed, and in some cases suitable residuals are not available. The residual is illustrated with simulated and real data.","Bryan E. Shepherd Vanderbilt University School of Medicine, Chun Li Case Western Reserve University, Qi Liu Merck",Wednesday 13:30-14:15,N
Robust Estimation under Cellwise and Casewise Contamination,"In traditional robust statistics, it is generally assumed that the majority of the observations in the data are free of contamination, while only a minority of the observations are contaminated. The contaminated observations are flagged as outliers and down-weighted even if only a single component is contaminated. Some observations may fully depart from the bulk of the data. This situation usually refers to casewise outliers. However, observations can be only partially contaminated. This type of contamination often appears as single outlying cells in a data matrix and therefore, usually refers to cellwise contamination. Under cellwise contamination, a lot of information could be lost through down-weighting the whole observation, especially for high-dimensional data. Recent work has shown that procedures that proceed in such way are not robust. In this talk, we will sketch out our proposal to estimate multivariate location and scatter under this cell-and-casewise contamination.","Andy Leung University of British Columbia, Victor J. Yohai Universidad de Buenos Aires, Ruben H. Zamar University of British Columbia",Wednesday 14:15-15:00,N
Maximum Likelihood Estimation of Marine Predators' Diet Proportions,"Diet compositions of marine predators are often of interest for marine ecologists in trophic structure studies where non-lethal sampling has created a need for non-invasive diet estimation techniques. Methods using fatty acids have been developed to obtain dietary estimates that have previously been difficult to acquire. Building on the existing quantitative fatty acid signature analysis, we have constructed a maximum likelihood approach to estimating dietary proportions that includes standard errors and allows for the potential for inclusion of covariates in the model. The model is assessed using simulated as well as real-life data, and results are compared to those of the current approach.",Holly N. Steeves Dalhousie University,Wednesday 15:00-15:30,N
Estimation and Inference in Directional Mixed Models for Compositional Data,"We propose a new class of mixed effects model for compositional data based on the Kent distribution for directional data, where the random effects also have Kent distributions. One useful property of the new directional mixed model is that the marginal mean direction has a closed form and is interpretable. The random effects enter the model in a multiplicative way via the product of a set of rotation matrices and the conditional mean direction is a random rotation of the marginal mean direction. For estimation we apply a quasi-likelihood method which results in solving a new set of generalised estimating equations and these are shown to have low bias in typical situations. For inference we use a nonparametric bootstrap method for clustered data which does not rely on estimates of the shape parameters (shape parameters are difficult to estimate in Kent models). The new approach is shown to be more tractable than the traditional approach based on the logratio transformation.","Janice Lea Scealy Australian National University, Alan Welsh Australian National University",Wednesday 15:30-16:00,N
A Dirichlet Regression Model for Compositional Data with Zeros,"Compositional data are met in many different fields, such as economics, archaeometry, ecology, geology and political sciences. Regression where the dependent variable is a composition is usually carried out via a log-ratio transformation of the composition or via the Dirichlet distribution. However, when there are zero values in the data these two ways are not readily applicable. Suggestions for this problem exist, but most of them rely on substituting the zero values. In this paper we adjust the Dirichlet distribution when covariates are present, in order to allow for zero values to be present in the data, without modifying any values. To do so, we modify the log-likelihood of the Dirichlet distribution to account for zero values. Examples and simulation studies exhibit the performance of the zero adjusted Dirichlet regression.","Michail Tsagris University of Crete, Connie Stewart University of New Brunswick",Wednesday 16:00-16:30,N
"Statistics, Science and Technology","There have been huge advances in measurement, computing and information technology over the 50 years since the University of Manitoba Department of Statistics was founded, and these have transformed the ways that statistics is applied. In this talk I will review some history of statistical applications in science and technology before and then during this period. I will then discuss some current activities and some important issues, including the use of big data, the role of statistics within data science, and the distinction between scientific learning and technological problems involving decision-making.",Jerald F. Lawless University of Waterloo,Wednesday 15:00-15:30,N
Reflections on Interactions with Industry ,"As one of the speakers in this session celebrating the 50th Anniversary of the Department of Statistics at the University of Manitoba, sponsored by the Business and Industrial Statistics Section, I was asked to reflect on some earlier interactions between the Department of Statistics and industrial partners. I will provide examples of these interactions and describe how these interactions arose. I will also discuss the benefits of academic statisticians being involved in such interactions, as well as some of the challenges and lessons learned.",John F. Brewster University of Manitoba,Wednesday 15:30-16:00,N
The Family of Chi-square Copulas and Applications in Spatial Statistics ,"First, some dependence properties of the family of chi-square copulas are presented. This family is very attractive because it generalizes the Gaussian copula and allows for flexible modeling of high dimensional random vectors. This class of dependence structures is then applied in spatial statistics to predict the value of a non-Gaussian stationary random field at a position where it has not been observed. This interpolation method is then compared to the kriging method in a real example and via a simulation study.","Marie-Hélène Toupin Université Laval, Jean-François Quessy Université du Québec à Trois-Rivières, Louis-Paul Rivest Université Laval",Wednesday 15:00-15:22,N
Vine Copula Regression,"Regression analysis is one of the oldest topics in statistics. If explanatory variables and a response variable of interest are simultaneously observed, then fitting a joint multivariate density to all variables would enable prediction via conditional distributions. The vine copulas have proven to be a flexible tool in high-dimensional dependence modeling. We introduce a new regular vine copula based regression model, which avoids issues of variable selection, variable transformation, and heteroscedasticity. It uses general regular vines and we have developed an efficient algorithm to compute the conditional distribution. Our model is able to handle a mix of continuous and discrete variables. That is, the predictors and response variable can be either continuous or discrete; thus we have a unified model for regression and classification problems. We demonstrate the predictive performance of the proposed method using a real data set. ","Bo Chang University of British Columbia, Harry Joe University of British Columbia",Wednesday 15:22-15:45,N
Improved Estimation and Identification of Block-Exchangeable Dependence Structures,"We use concepts from copula modeling and statistical learning to improve the estimation of the Kendall's tau correlation matrix of a set of variables. We are interested in recovering structural properties of the variables' joint distribution. Relaxing the full exchangeability assumption, we assume the existence of exchangeable subsets of variables without explicitly specifying them. These block-exchangeable dependence structures are such that their corresponding tau matrix contains many identical entries. We iteratively modify the usual estimator of tau by introducing constraints corresponding to the structural properties discovered, thus producing a sparser representation of the dependence. A first algorithm is used to produce a sequence of decreasingly complex models among which the final model is to be selected. Final selection is provided by a second algorithm. The procedure yields improved estimation of the tau matrix and better representation of the dependence among the variables. The approach is applied to data from the US stock market.","Samuel Perreault Université Laval, Thierry Duchesne Université Laval, Johanna Neslehova McGill University",Wednesday 15:45-16:07,N
Generalized Simulated Method-of-Moments for Copula Parameters of Arbitrary Dimension,"In this talk, we develop a general method for estimating a vector of parameters of an arbitrary dimension in multivariate copula models. The proposed estimator is based on the first p-moments of the multivariate probability integral transformation that one can associate to a given parametric copula model. An unbiased estimator of these p-moments are first described, from which a method-of-moments estimator of the unknown vector of parameters is defined. In order that the method be applicable even when explicit expressions for the theoretical moments are not available, a simulated version of the estimator is developed as well. Interestingly, the latter can be performed as long as one is able to simulate from a given copula model. The consistency and asymptotic normality of these estimators are formally established under standard and mild conditions. The performance of these estimators in terms of bias and mean-squared errors is investigated through an extensive simulation study.","Mohamed Belalia Université du Québec à Trois-Rivières, Jean-François Quessy University of Québec at Trois-Rivières",Wednesday 16:07-16:30,N
Matrix Linear Discriminant Analysis,"We propose a novel linear discriminant analysis approach for the classification of high-dimensional matrix-valued data that commonly arise from imaging studies. Motivated by the equivalence of the conventional linear discriminant analysis and the ordinary least squares, we consider an efficient nuclear norm penalized regression that encourages a low-rank structure. Theoretical properties including a non-asymptotic risk bound and a rank consistency result are established. Simulation studies and an application to electroencephalography data show the superior performance of the proposed method over the existing approaches. ","Dehan Kong University of Toronto, Wei Hu University of California Irvine, Weining Shen University of California Irvine, Hua Zhou University of California Los Angeles",Wednesday 15:00-15:30,N
Scalar on Image Regression with Application to Multiple Sclerosis MRI Lesion Data.,"Multiple sclerosis (MS) is an autoimmune disease that attacks the central nervous system. Magnetic resonance imaging (MRI) plays a central role in the diagnosis and management of MS patients because damage to the myelin is visible on MRI. A research question of interest is whether these MRI images can predict MS subtype. To answer this question we propose a Bayesian scalar-on-image regression model with scalar outcome (MS subtype) and binary image (MRI) covariates. Parameters of these covariates are spatially varying and are fitted using Gaussian random fields. Our proposed model is fitted to a real data set consisting of 228 MS patients with 3 MS subtypes. A Hamiltonian Monte Carlo (HMC) algorithm is proposed to implement full Bayesian statistical inference. To reduce the computational burden, we code the problem to run in parallel on a graphical processing unit (GPU).","Cui Guo University of Michigan, Timothy D. Johnson University of Michigan",Wednesday 15:30-16:00,N
Towards More Reliable Neuroimaging-Based Biomarkers in Mental Illness: The Case of Schizophrenia Discrimination using fMRI Data ,"Much work in the recent years has shown associations between schizophrenia and abnormal brain functional connectivity, which represents the pattern of interaction between different brain regions. The functional connectivity network can be derived from functional MRI (fMRI) data, which provides an indirect measure of the brain neural activity – during rest or task – at a reasonable spatial and temporal resolution. Despite much work, no reliable “statistical biomarker” has yet been identified that can be used to diagnose schizophrenia or guide treatment. Our work aims at finding reliable neuroimaging-based sets of features or “biomarkers” that are not only statistically significant, but also predictive of the disease in a novel subject and stable across different data subsets. Results of applying this approach to functional connectivity network features extracted from fMRI data of patients diagnosed with schizophrenia and healthy controls from a multi-site fMRI dataset will be presented.","Mina Gheiratmand University of Alberta, Russell Greiner University of Alberta, Matthew Brown University of Alberta, Andrew Greenshaw University of Alberta, Serdar Dursun University of Alberta",Wednesday 16:00-16:30,N
Calibration of Measurements: An Extension of Classic Measurement Error Theory,"The classical notion of measurement error typically relies on a mean-zero assumption on the expectation of the errors, conditional on the data. However, in many applied problems in the medical, social and ecological sciences, such an assumption is often unreasonable. In this talk, we will define the notion of a weakly calibrated measurement for an unobservable true quantity based upon a weaker mean-zero assumption that more accurately reflects the structure of applied problems in these disciplines. We will then explore certain attractive features of this measurement error formulation, some not present in the traditional model. Finally, we will indicate how these theoretical considerations can lead to practical inferential gains in the context of some real problems from the medical, social and ecological sciences. ","Edward Kroc University of British Columbia, Bruno D. Zumbo University of British Columbia",Wednesday 15:00-15:15,N
Non-identifiable Interaction Models with Misclassification ,"In statistical association studies, outcomes are determined by combinations of error-prone and accurately measured variables that interact with each other. As techniques dealing with interaction terms when error-prone variables are involved are quite challenging, in practice, we often see the use of additive models that ignore the interaction effects. However, the consequence of erroneously omitting interactions in those models is recognized as one of the main threats to efficiency of these studies. In fact, in the presence of error-prone variables, detecting the interaction term is more challenging than either the individual effects. In order to improve the accuracy and precision in the assessment these factors, one needs to take into account these errors. On the other hand, including interaction terms often raises the issue of non-identifiability. In this presentation, I will discuss some association studies with a primary focus on interaction terms, subject to misclassification, and some remedies to deal with the issue of non-identifiable parameters. ",Taraneh Abarin Memorial University of Newfoundland,Wednesday 15:15-15:30,N
Revisiting Variance Decomposition when Independent Samples Intersect,"When a sample is obtained by intersecting two independent samples, the variance and the estimator of variance of the expanded estimator can be decomposed in two different ways according to the sample used in the conditional expectations. Even if both methods give the same result, we show that with one decomposition, it is generally more practical to compute the variance and with the other one, it is more convenient to estimate the variance. These differences in the decompositions are due to simplifications in joint inclusion probabilities and this sheds light on two particular cases: the reverse approach used in the nonresponse case and the estimation of variance in two-stage sampling designs.","Audrey-Anne Vallée Université de Neuchâtel, Yves Tillé Université de Neuchâtel",Wednesday 15:30-15:45,N
